ResponseId,MainBranch,Age,Employment_Status,CodingActivities,EdLevel,DevType,Country,"LearnCode_Other_online_resources_(e.g.,_videos,_blogs,_forum,_online_community)",LearnCode_On_the_job_training,LearnCode_Books___Physical_media,"LearnCode_School_(i.e.,_University,_College,_etc)",LearnCode_Online_Courses_or_Certification,LearnCode_Other,LanguageHaveWorkedWith_Python,LanguageHaveWorkedWith_SQL,LanguageHaveWorkedWith_Bash_Shell_(all_shells),LanguageHaveWorkedWith_JavaScript,LanguageHaveWorkedWith_HTML_CSS,LanguageHaveWorkedWith_Other,DatabaseHaveWorkedWith_PostgreSQL,DatabaseHaveWorkedWith_Microsoft_SQL_Server,DatabaseHaveWorkedWith_SQLite,DatabaseHaveWorkedWith_MySQL,DatabaseHaveWorkedWith_Snowflake,DatabaseHaveWorkedWith_Other,PlatformHaveWorkedWith_Amazon_Web_Services_(AWS),PlatformHaveWorkedWith_Microsoft_Azure,PlatformHaveWorkedWith_Google_Cloud,PlatformHaveWorkedWith_Databricks,PlatformHaveWorkedWith_Digital_Ocean,PlatformHaveWorkedWith_Other
6483,I am a developer by profession,35-44,employed,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist,United States of America,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
6519,I code primarily as a hobby,45-54,employed,Hobby;Contribute to open-source projects;Bootstrapping a business;Freelance/contract work,"Associate degree (A.A., A.S., etc.)",Data engineer,United States of America,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1
6532,I am a developer by profession,35-44,employed,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist,United States of America,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
6703,I am a developer by profession,35-44,employed,I don’t code outside of work,Some college/university study without earning a degree,Data engineer,United States of America,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
6736,I am a developer by profession,25-34,employed,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist,United States of America,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
6760,I code primarily as a hobby,Under 18,student,,Some college/university study without earning a degree,Data or business analyst,United States of America,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
6790,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Prefer not to say,employed,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data or business analyst,United States of America,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6793,I am a developer by profession,35-44,employed,Hobby;Freelance/contract work,Some college/university study without earning a degree,Data engineer,United States of America,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0
6796,I am a developer by profession,55-64,employed,Other (please specify):;Bootstrapping a business;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,United States of America,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1
7022,I am a developer by profession,45-54,employed,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist or machine learning specialist,United States of America,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
8018,I am a developer by profession,25-34,employed,Hobby;Bootstrapping a business;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,United States of America,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
8279,I am a developer by profession,25-34,employed,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data engineer,United States of America,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1
8437,"I am not primarily a developer, but I write code sometimes as part of my work/studies",45-54,employed,Bootstrapping a business;Professional development or self-paced learning from online courses;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data or business analyst,United States of America,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
8478,I am a developer by profession,45-54,employed,School or academic work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data engineer,United States of America,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0
8491,I am a developer by profession,25-34,employed,Hobby;School or academic work;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist,United States of America,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
8553,"I am not primarily a developer, but I write code sometimes as part of my work/studies",45-54,employed,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,United States of America,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
8799,I am a developer by profession,25-34,employed,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data engineer,United States of America,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
8811,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44,employed,Contribute to open-source projects,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Data scientist or machine learning specialist,United States of America,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0
8826,I am a developer by profession,35-44,employed,School or academic work;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data engineer,United States of America,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
8890,I am a developer by profession,35-44,employed,Hobby;Bootstrapping a business;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data engineer,United States of America,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
8908,I am a developer by profession,45-54,employed,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data engineer,United States of America,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0
8974,I am a developer by profession,45-54,employed,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist,United States of America,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
9023,I am a developer by profession,25-34,employed,Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist,United States of America,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1
9172,I am a developer by profession,45-54,employed,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist,United States of America,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
9258,I am a developer by profession,25-34,employed,Professional development or self-paced learning from online courses,"Associate degree (A.A., A.S., etc.)",Data or business analyst,United States of America,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0
9315,I am a developer by profession,25-34,employed,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data or business analyst,United States of America,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
9342,I am a developer by profession,25-34,employed,Other (please specify):;Bootstrapping a business;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,United States of America,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1
9365,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34,employed,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data or business analyst,United States of America,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1
9374,"I am not primarily a developer, but I write code sometimes as part of my work/studies",45-54,employed,Professional development or self-paced learning from online courses,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Data scientist or machine learning specialist,United States of America,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
9379,I am a developer by profession,25-34,employed,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist,United States of America,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9433,I am a developer by profession,25-34,employed,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data or business analyst,United States of America,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0
9454,I am a developer by profession,35-44,employed,Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,United States of America,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
9619,"I am not primarily a developer, but I write code sometimes as part of my work/studies",45-54,employed,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,United States of America,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
9772,I am a developer by profession,55-64,employed,Hobby;School or academic work;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data engineer,United States of America,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0
10205,"I am not primarily a developer, but I write code sometimes as part of my work/studies",45-54,employed,Freelance/contract work,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Data scientist or machine learning specialist,United States of America,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1
11083,I am a developer by profession,25-34,employed,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,United States of America,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1
11246,I am a developer by profession,35-44,employed,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data or business analyst,United States of America,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
11275,I am a developer by profession,25-34,employed,School or academic work;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist or machine learning specialist,United States of America,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0
11284,I am a developer by profession,45-54,employed,Hobby;Bootstrapping a business;Freelance/contract work,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Data scientist or machine learning specialist,United States of America,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1
11345,I am a developer by profession,25-34,employed,Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,United States of America,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
11352,I am a developer by profession,25-34,employed,Hobby;School or academic work;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist or machine learning specialist,United States of America,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
11442,I am a developer by profession,35-44,employed,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,United States of America,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
11525,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Prefer not to say,employed,Hobby,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Data scientist or machine learning specialist,United States of America,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
11562,I am a developer by profession,Prefer not to say,employed,Other (please specify):,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist,United States of America,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0
11613,"I am not primarily a developer, but I write code sometimes as part of my work/studies",55-64,employed,Hobby;Professional development or self-paced learning from online courses;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data or business analyst,United States of America,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
11657,I am a developer by profession,25-34,employed,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data or business analyst,United States of America,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11742,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44,employed,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data or business analyst,United States of America,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11920,I am a developer by profession,25-34,employed,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,United States of America,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
12019,I am a developer by profession,25-34,employed,Hobby,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Data or business analyst,United States of America,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
12261,I am a developer by profession,55-64,employed,Hobby,Some college/university study without earning a degree,Data engineer,United States of America,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
